C_no,H_no,N_no,O_no,S_no,Aliphatic_atom_count,Aliphatic_bond_count,Aliphatic_ring_count,Aromatic_atom_count,Aromatic_bond_count,Aromatic_ring_count,Asymmetric_atom_count,Bond_count,Carboaromatic_ring_count,Carbo_ring_count,Chain_atom_count,Chiral_center_count,Cyclomatic_number,Balaban_index,Dreiding_energy,Fused_aliphatic_ring_count,Fused_aromatic_ring_count,Fused_ring_count,Heteroaliphatic_ring_count,Heteroaromatic_ring_count,Hetero_ring_count,Hyper_wiener_index,Largest_ring_size,Largest_ring_system_size,Mass,Maximal_projection_area,Maximal_projection_radius,Length_perpendicular_to_the_max_area,Minimal_projection_area,Minimal_projection_radius,Length_perpendicular_to_the_min_area,Platt_index,Randic_index,Szeged_index,Refractivity,Ring_atom_count,Ring_bond_count,Ring_count,Ring_count_of_atom,Ring_system_count,Rotatable_bond_count,Atom_count,Aliphatic_atom_count,Aromatic_atom_count,Bond_count,Aliphatic_bond_count,Aromatic_bond_count,Rotatable_bond_count,Ring_count,Aliphatic_ring_count,Aromatic_ring_count,Hetero_ring_count,Heteroaliphatic_ring_count,Heteroaromatic_ring_count,Ring_atom_count,Ring_bond_count,Chain_atom_count,Chain_bond_count,Largest_ring_size,Atom_count,Aliphatic_atom_count,Aromatic_atom_count,Bond_count,Aliphatic_bond_count,Aromatic_bond_count,Rotatable_bond_count,Ring_count,Aliphatic_ring_count,Aromatic_ring_count,Hetero_ring_count,Heteroaliphatic_ring_count,Heteroaromatic_ring_count,Ring_atom_count,Ring_bond_count,Chain_atom_count,Chain_bond_count,Largest_ring_size,van_der_Waals_volume,pI,Quaternary_structure,PLGA_visc,PLGA_Mw,La_to_Gly,PVA_conc_inner_phase,PVA_conc_outer_phase,PVA_Mw,Inner_phase_volume,Encaps_rate,Mean_part_size,Block_polymer,PLGA_conc,PLGA_to_Placticizer,diss_pH,diss_add,diss_add_conc,Prod_method,Atom_count,Aliphatic_atom_count,Bond_count,Aliphatic_bond_count,Rotatable_bond_count,Ring_count,Aliphatic_ring_count,Hetero_ring_count,Heteroaliphatic_ring_count,Ring_atom_count,Ring_bond_count,Chain_atom_count,Chain_bond_count,Smallest_ring_size,Largest_ring_size,Mass,molecular,a(xx),a(yy),a(zz),a(yy),ASA,ASA+,ASA-,ASA_H,ASA_P,Polar_surface_area,Asymmetric_atom_count,Bond_count,Chiral_center_count,Cyclomatic_number,Dreiding_energy,Fragment_count,Harary_index,Hyper_wiener_index,Maximal_projection_area,Maximal_projection_radius,Minimal_projection_area,Minimal_projection_radius,Van_der_Waals_surface_area_(3D),Platt_index,Randic_index,Szeged_index,Wiener_index,Wiener_polarity,Stereoisomer_count,count,Markush_library_size,pH_0_logd,pH_1_logd,pH_2_logd,pH_3_logd,pH_4_logd,pH_5_logd,pH_6_logd,pH_7_logd,pH_8_logd,pH_9_logd,pH_10_logd,pH_11_logd,pH_12_logd,pH_13_logd,pH_14_logd,logP,bpKa1,bpKa2,acceptorcount,donorcount,pH_0_msacc,pH_1_msacc,pH_2_msacc,pH_3_msacc,pH_4_msacc,pH_5_msacc,pH_6_msacc,pH_7_msacc,pH_8_msacc,pH_9_msacc,pH_10_msacc,pH_11_msacc,pH_12_msacc,pH_13_msacc,pH_14_msacc,pH_0_msdon,pH_1_msdon,pH_2_msdon,pH_3_msdon,pH_4_msdon,pH_5_msdon,pH_6_msdon,pH_7_msdon,pH_8_msdon,pH_9_msdon,pH_10_msdon,pH_11_msdon,pH_12_msdon,pH_13_msdon,pH_14_msdon,Atom_count,Aliphatic_atom_count,Aromatic_atom_count,Bond_count,Aliphatic_bond_count,Aromatic_bond_count,Rotatable_bond_count,Ring_count,Aliphatic_ring_count,Hetero_ring_count,Heteroaliphatic_ring_count,Ring_atom_count,Ring_bond_count,Chain_atom_count,Chain_bond_count,Smallest_ring_size,Largest_ring_size,Mass,molecular,a(xx),a(yy),a(zz),a(yy),ASA,ASA+,ASA-,ASA_H,ASA_P,Polar_surface_area,Asymmetric_atom_count,Bond_count,Chiral_center_count,Cyclomatic_number,Dreiding_energy,Fragment_count,Harary_index,Hyper_wiener_index,Maximal_projection_area,Maximal_projection_radius,Minimal_projection_area,Minimal_projection_radius,Van_der_Waals_surface_area_3D,Platt_index,Randic_index,Szeged_index,Wiener_index,Wiener_polarity,Stereoisomer_count,count,Markush_library_size,pH_0_logd,pH_1_logd,pH_2_logd,pH_3_logd,pH_4_logd,pH_5_logd,pH_6_logd,pH_7_logd,pH_8_logd,pH_9_logd,pH_10_logd,pH_11_logd,pH_12_logd,pH_13_logd,pH_14_logd,logP,bpKa1,bpKa2,acceptorcount,donorcount,pH_0_msacc,pH_1_msacc,pH_2_msacc,pH_3_msacc,pH_4_msacc,pH_5_msacc,pH_6_msacc,pH_7_msacc,pH_8_msacc,pH_9_msacc,pH_10_msacc,pH_11_msacc,pH_12_msacc,pH_13_msacc,pH_14_msacc,pH_0_msdon,pH_1_msdon,pH_2_msdon,pH_3_msdon,pH_4_msdon,pH_5_msdon,pH_6_msdon,pH_7_msdon,pH_8_msdon,pH_9_msdon,pH_10_msdon,pH_11_msdon,pH_12_msdon,pH_13_msdon,pH_14_msdon,target,
2935,4617,781,897,39,4267,4360,28,385,387,68,615,9364,49,49,4127,615,96,4685.77,1166699.675,0,4,4,28,19,47,-429981997,6,2,66446.293,4224.69,47.07,63.01,2989.68,37.805,89.41,12820,2192.24,2023526795,16750.63,525,527,96,0,94,2237,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,60273.695,5.3,2,0.2,12000,1,0,0,0,20,18,3.8,1,2.236,10.4,7.4,0,0,4,535,229,534,228,226,0,0,0,0,0,0,229,228,0,0,3366.01,413.77,281.72,267.03,692.57,267.03,7668.04,6617.52,1050.52,6571.3,1096.74,732.71,0,534,0,0,469.89,1,1148,115584315,1144.8,137.63,241.67,27.43,5956.3,1978,226.15,2001460,2001460,226,1,1,1,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.74,-4.8,-4.73,-2.75,-2.75,77,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77.02,77.14,2,2,2,2,2,2,2,2,2,2,2,2,2,1.98,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,23.704
2935,4617,781,897,39,4267,4360,28,385,387,68,615,9364,49,49,4127,615,96,4685.77,1166699.675,0,4,4,28,19,47,-429981997,6,2,66446.293,4224.69,47.07,63.01,2989.68,37.805,89.41,12820,2192.24,2023526795,16750.63,525,527,96,0,94,2237,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,60273.695,5.3,2,0.2,12000,1,0,0,0,20,18,3.8,1,2.236,10.4,7.4,0,0,4,535,229,534,228,226,0,0,0,0,0,0,229,228,0,0,3366.01,413.77,281.72,267.03,692.57,267.03,7668.04,6617.52,1050.52,6571.3,1096.74,732.71,0,534,0,0,469.89,1,1148,115584315,1144.8,137.63,241.67,27.43,5956.3,1978,226.15,2001460,2001460,226,1,1,1,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.74,-4.8,-4.73,-2.75,-2.75,77,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77.02,77.14,2,2,2,2,2,2,2,2,2,2,2,2,2,1.98,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.856,30.741
2935,4617,781,897,39,4267,4360,28,385,387,68,615,9364,49,49,4127,615,96,4685.77,1166699.675,0,4,4,28,19,47,-429981997,6,2,66446.293,4224.69,47.07,63.01,2989.68,37.805,89.41,12820,2192.24,2023526795,16750.63,525,527,96,0,94,2237,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,60273.695,5.3,2,0.2,12000,1,0,0,0,20,18,3.8,1,2.236,10.4,7.4,0,0,4,535,229,534,228,226,0,0,0,0,0,0,229,228,0,0,3366.01,413.77,281.72,267.03,692.57,267.03,7668.04,6617.52,1050.52,6571.3,1096.74,732.71,0,534,0,0,469.89,1,1148,115584315,1144.8,137.63,241.67,27.43,5956.3,1978,226.15,2001460,2001460,226,1,1,1,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.74,-4.8,-4.73,-2.75,-2.75,77,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77.02,77.14,2,2,2,2,2,2,2,2,2,2,2,2,2,1.98,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.942,38.148
2935,4617,781,897,39,4267,4360,28,385,387,68,615,9364,49,49,4127,615,96,4685.77,1166699.675,0,4,4,28,19,47,-429981997,6,2,66446.293,4224.69,47.07,63.01,2989.68,37.805,89.41,12820,2192.24,2023526795,16750.63,525,527,96,0,94,2237,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,60273.695,5.3,2,0.2,12000,1,0,0,0,20,18,3.8,1,2.236,10.4,7.4,0,0,4,535,229,534,228,226,0,0,0,0,0,0,229,228,0,0,3366.01,413.77,281.72,267.03,692.57,267.03,7668.04,6617.52,1050.52,6571.3,1096.74,732.71,0,534,0,0,469.89,1,1148,115584315,1144.8,137.63,241.67,27.43,5956.3,1978,226.15,2001460,2001460,226,1,1,1,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.74,-4.8,-4.73,-2.75,-2.75,77,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77.02,77.14,2,2,2,2,2,2,2,2,2,2,2,2,2,1.98,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.928,45.926
2935,4617,781,897,39,4267,4360,28,385,387,68,615,9364,49,49,4127,615,96,4685.77,1166699.675,0,4,4,28,19,47,-429981997,6,2,66446.293,4224.69,47.07,63.01,2989.68,37.805,89.41,12820,2192.24,2023526795,16750.63,525,527,96,0,94,2237,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,60273.695,5.3,2,0.2,12000,1,0,0,0,20,18,3.8,1,2.236,10.4,7.4,0,0,4,535,229,534,228,226,0,0,0,0,0,0,229,228,0,0,3366.01,413.77,281.72,267.03,692.57,267.03,7668.04,6617.52,1050.52,6571.3,1096.74,732.71,0,534,0,0,469.89,1,1148,115584315,1144.8,137.63,241.67,27.43,5956.3,1978,226.15,2001460,2001460,226,1,1,1,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.74,-4.8,-4.73,-2.75,-2.75,77,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77.02,77.14,2,2,2,2,2,2,2,2,2,2,2,2,2,1.98,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.009,57.778
2935,4617,781,897,39,4267,4360,28,385,387,68,615,9364,49,49,4127,615,96,4685.77,1166699.675,0,4,4,28,19,47,-429981997,6,2,66446.293,4224.69,47.07,63.01,2989.68,37.805,89.41,12820,2192.24,2023526795,16750.63,525,527,96,0,94,2237,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,60273.695,5.3,2,0.2,12000,1,0,0,0,20,18,3.8,1,2.236,10.4,7.4,0,0,4,535,229,534,228,226,0,0,0,0,0,0,229,228,0,0,3366.01,413.77,281.72,267.03,692.57,267.03,7668.04,6617.52,1050.52,6571.3,1096.74,732.71,0,534,0,0,469.89,1,1148,115584315,1144.8,137.63,241.67,27.43,5956.3,1978,226.15,2001460,2001460,226,1,1,1,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.74,-4.8,-4.73,-2.75,-2.75,77,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77.02,77.14,2,2,2,2,2,2,2,2,2,2,2,2,2,1.98,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.999,61.111
2935,4617,781,897,39,4267,4360,28,385,387,68,615,9364,49,49,4127,615,96,4685.77,1166699.675,0,4,4,28,19,47,-429981997,6,2,66446.293,4224.69,47.07,63.01,2989.68,37.805,89.41,12820,2192.24,2023526795,16750.63,525,527,96,0,94,2237,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,60273.695,5.3,2,0.2,12000,1,0,0,0,20,18,3.8,1,2.236,10.4,7.4,0,0,4,535,229,534,228,226,0,0,0,0,0,0,229,228,0,0,3366.01,413.77,281.72,267.03,692.57,267.03,7668.04,6617.52,1050.52,6571.3,1096.74,732.71,0,534,0,0,469.89,1,1148,115584315,1144.8,137.63,241.67,27.43,5956.3,1978,226.15,2001460,2001460,226,1,1,1,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.74,-4.8,-4.73,-2.75,-2.75,77,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77.02,77.14,2,2,2,2,2,2,2,2,2,2,2,2,2,1.98,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.888,65.926
2935,4617,781,897,39,4267,4360,28,385,387,68,615,9364,49,49,4127,615,96,4685.77,1166699.675,0,4,4,28,19,47,-429981997,6,2,66446.293,4224.69,47.07,63.01,2989.68,37.805,89.41,12820,2192.24,2023526795,16750.63,525,527,96,0,94,2237,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,60273.695,5.3,2,0.2,12000,1,0,0,0,20,18,3.8,1,2.236,10.4,7.4,0,0,4,535,229,534,228,226,0,0,0,0,0,0,229,228,0,0,3366.01,413.77,281.72,267.03,692.57,267.03,7668.04,6617.52,1050.52,6571.3,1096.74,732.71,0,534,0,0,469.89,1,1148,115584315,1144.8,137.63,241.67,27.43,5956.3,1978,226.15,2001460,2001460,226,1,1,1,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.74,-4.8,-4.73,-2.75,-2.75,77,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77.02,77.14,2,2,2,2,2,2,2,2,2,2,2,2,2,1.98,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.876,71.111
2935,4617,781,897,39,4267,4360,28,385,387,68,615,9364,49,49,4127,615,96,4685.77,1166699.675,0,4,4,28,19,47,-429981997,6,2,66446.293,4224.69,47.07,63.01,2989.68,37.805,89.41,12820,2192.24,2023526795,16750.63,525,527,96,0,94,2237,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,60273.695,5.3,2,0.2,12000,1,0,0,0,20,18,3.8,1,2.236,10.4,7.4,0,0,4,535,229,534,228,226,0,0,0,0,0,0,229,228,0,0,3366.01,413.77,281.72,267.03,692.57,267.03,7668.04,6617.52,1050.52,6571.3,1096.74,732.71,0,534,0,0,469.89,1,1148,115584315,1144.8,137.63,241.67,27.43,5956.3,1978,226.15,2001460,2001460,226,1,1,1,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.74,-4.8,-4.73,-2.75,-2.75,77,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77.02,77.14,2,2,2,2,2,2,2,2,2,2,2,2,2,1.98,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.955,78.148
2935,4617,781,897,39,4267,4360,28,385,387,68,615,9364,49,49,4127,615,96,4685.77,1166699.675,0,4,4,28,19,47,-429981997,6,2,66446.293,4224.69,47.07,63.01,2989.68,37.805,89.41,12820,2192.24,2023526795,16750.63,525,527,96,0,94,2237,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,60273.695,5.3,2,0.2,12000,1,0,0,0,20,18,3.8,1,2.236,10.4,7.4,0,0,4,535,229,534,228,226,0,0,0,0,0,0,229,228,0,0,3366.01,413.77,281.72,267.03,692.57,267.03,7668.04,6617.52,1050.52,6571.3,1096.74,732.71,0,534,0,0,469.89,1,1148,115584315,1144.8,137.63,241.67,27.43,5956.3,1978,226.15,2001460,2001460,226,1,1,1,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.74,-4.8,-4.73,-2.75,-2.75,77,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77.02,77.14,2,2,2,2,2,2,2,2,2,2,2,2,2,1.98,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.927,86.667
2935,4617,781,897,39,4267,4360,28,385,387,68,615,9364,49,49,4127,615,96,4685.77,1166699.675,0,4,4,28,19,47,-429981997,6,2,66446.293,4224.69,47.07,63.01,2989.68,37.805,89.41,12820,2192.24,2023526795,16750.63,525,527,96,0,94,2237,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,60273.695,5.3,2,0.2,12000,1,0,0,0,20,18,3.8,1,2.236,10.4,7.4,0,0,4,535,229,534,228,226,0,0,0,0,0,0,229,228,0,0,3366.01,413.77,281.72,267.03,692.57,267.03,7668.04,6617.52,1050.52,6571.3,1096.74,732.71,0,534,0,0,469.89,1,1148,115584315,1144.8,137.63,241.67,27.43,5956.3,1978,226.15,2001460,2001460,226,1,1,1,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.74,-4.8,-4.73,-2.75,-2.75,77,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77.02,77.14,2,2,2,2,2,2,2,2,2,2,2,2,2,1.98,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.008,92.222
2935,4617,781,897,39,4267,4360,28,385,387,68,615,9364,49,49,4127,615,96,4685.77,1166699.675,0,4,4,28,19,47,-429981997,6,2,66446.293,4224.69,47.07,63.01,2989.68,37.805,89.41,12820,2192.24,2023526795,16750.63,525,527,96,0,94,2237,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,60273.695,5.3,2,0.855,98000,3,0,0,0,20,47,23.8,1,0.602,2.8,7.4,0,0,4,535,229,534,228,226,0,0,0,0,0,0,229,228,0,0,3366.01,413.77,281.72,267.03,692.57,267.03,7668.04,6617.52,1050.52,6571.3,1096.74,732.71,0,534,0,0,469.89,1,1148,115584315,1144.8,137.63,241.67,27.43,5956.3,1978,226.15,2001460,2001460,226,1,1,1,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.74,-4.8,-4.73,-2.75,-2.75,77,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77.02,77.14,2,2,2,2,2,2,2,2,2,2,2,2,2,1.98,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2935,4617,781,897,39,4267,4360,28,385,387,68,615,9364,49,49,4127,615,96,4685.77,1166699.675,0,4,4,28,19,47,-429981997,6,2,66446.293,4224.69,47.07,63.01,2989.68,37.805,89.41,12820,2192.24,2023526795,16750.63,525,527,96,0,94,2237,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,60273.695,5.3,2,0.855,98000,3,0,0,0,20,47,23.8,1,0.602,2.8,7.4,0,0,4,535,229,534,228,226,0,0,0,0,0,0,229,228,0,0,3366.01,413.77,281.72,267.03,692.57,267.03,7668.04,6617.52,1050.52,6571.3,1096.74,732.71,0,534,0,0,469.89,1,1148,115584315,1144.8,137.63,241.67,27.43,5956.3,1978,226.15,2001460,2001460,226,1,1,1,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.74,-4.8,-4.73,-2.75,-2.75,77,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77.02,77.14,2,2,2,2,2,2,2,2,2,2,2,2,2,1.98,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,56.667
2935,4617,781,897,39,4267,4360,28,385,387,68,615,9364,49,49,4127,615,96,4685.77,1166699.675,0,4,4,28,19,47,-429981997,6,2,66446.293,4224.69,47.07,63.01,2989.68,37.805,89.41,12820,2192.24,2023526795,16750.63,525,527,96,0,94,2237,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,9269,4267,385,9364,4360,387,2237,96,28,68,47,28,19,525,527,4127,4220,6,60273.695,5.3,2,0.855,98000,3,0,0,0,20,47,23.8,1,0.602,2.8,7.4,0,0,4,535,229,534,228,226,0,0,0,0,0,0,229,228,0,0,3366.01,413.77,281.72,267.03,692.57,267.03,7668.04,6617.52,1050.52,6571.3,1096.74,732.71,0,534,0,0,469.89,1,1148,115584315,1144.8,137.63,241.67,27.43,5956.3,1978,226.15,2001460,2001460,226,1,1,1,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.74,-4.8,-4.73,-2.75,-2.75,77,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77.02,77.14,2,2,2,2,2,2,2,2,2,2,2,2,2,1.98,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.936,57.407
